method,split,seed,fold,far,recall_050,threshold,consecutive
v2 teacher,development,0,3,0.1111111111111111,0.4186046511627907,0.7,1
v2 teacher,development,0,3,0.1111111111111111,0.3372093023255814,0.7,2
v2 teacher,development,0,3,0.1111111111111111,0.26744186046511625,0.7,3
v2 teacher,development,0,3,0.1111111111111111,0.19767441860465115,0.7,4
v2 teacher,development,0,3,0.1111111111111111,0.4186046511627907,0.75,1
v2 teacher,development,0,3,0.1111111111111111,0.3023255813953488,0.75,2
v2 teacher,development,0,3,0.1111111111111111,0.2558139534883721,0.75,3
v2 teacher,development,0,3,0.1111111111111111,0.1744186046511628,0.75,4
v2 teacher,development,0,3,0.1111111111111111,0.3953488372093023,0.8,1
v2 teacher,development,0,3,0.1111111111111111,0.3023255813953488,0.8,2
v2 teacher,development,0,3,0.1111111111111111,0.2441860465116279,0.8,3
v2 teacher,development,0,3,0.1111111111111111,0.1744186046511628,0.8,4
v2 teacher,development,0,3,0.1111111111111111,0.36046511627906974,0.85,1
v2 teacher,development,0,3,0.1111111111111111,0.26744186046511625,0.85,2
v2 teacher,development,0,3,0.1111111111111111,0.19767441860465115,0.85,3
v2 teacher,development,0,3,0.1111111111111111,0.16279069767441862,0.85,4
v2 teacher,development,0,3,0.1111111111111111,0.3023255813953488,0.9,1
v2 teacher,development,0,3,0.1111111111111111,0.20930232558139536,0.9,2
v2 teacher,development,0,3,0.1111111111111111,0.19767441860465115,0.9,3
v2 teacher,development,0,3,0.07407407407407407,0.13953488372093023,0.9,4
v2 teacher,development,0,4,0.2962962962962963,0.8333333333333334,0.1,1
v2 teacher,development,0,4,0.2222222222222222,0.782051282051282,0.1,2
v2 teacher,development,0,4,0.14814814814814814,0.6794871794871795,0.1,3
v2 teacher,development,0,4,0.1111111111111111,0.5641025641025641,0.1,4
v2 teacher,development,0,4,0.2222222222222222,0.782051282051282,0.15,1
v2 teacher,development,0,4,0.18518518518518517,0.7051282051282052,0.15,2
v2 teacher,development,0,4,0.1111111111111111,0.5897435897435898,0.15,3
v2 teacher,development,0,4,0.1111111111111111,0.5256410256410257,0.15,4
v2 teacher,development,0,4,0.2222222222222222,0.7435897435897436,0.2,1
v2 teacher,development,0,4,0.18518518518518517,0.6666666666666666,0.2,2
v2 teacher,development,0,4,0.1111111111111111,0.5512820512820513,0.2,3
v2 teacher,development,0,4,0.1111111111111111,0.48717948717948717,0.2,4
v2 teacher,development,0,4,0.2222222222222222,0.7307692307692307,0.25,1
v2 teacher,development,0,4,0.14814814814814814,0.6282051282051282,0.25,2
